,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
0,0,108.61233580903838,120.00605372532686,,,0,1.2226350000000001,3.597
1,0,196.20187217102674,196.5155553791076,,,1,1.9076349999999997,11.8535
2,1,196.20187217102674,196.5155553791076,,,1,1.9076349999999997,11.8535
3,1,108.61233580903838,120.00605372532686,,,0,1.2226350000000001,3.597
4,2,108.61233580903838,120.00605372532686,,,0,1.2226350000000001,3.597
5,2,196.20187217102674,196.5155553791076,,,1,1.9076349999999997,11.8535
6,3,108.61233580903838,120.00605372532686,,,0,1.2226350000000001,3.597
7,3,196.20187217102674,196.5155553791076,,,1,1.9076349999999997,11.8535
8,4,108.61233580903838,120.00605372532686,,,0,1.2226350000000001,3.597
9,4,196.20187217102674,196.5155553791076,,,1,1.9076349999999997,11.8535
10,5,194.11436896230265,194.96713607936616,,,1,1.9076349999999997,11.8535
11,5,108.35844056332701,120.36205869787248,,,0,1.2226350000000001,3.597
12,6,100.72941135398787,101.0871048423107,,,0,1.807638230769231,4.262753846153847
13,6,197.15161778051674,195.7436220311715,,,1,2.0504580000000003,11.301533333333332
14,7,103.14053321961525,108.87302948838769,,,0,3.2155733333333334,9.198166666666667
15,7,196.29572787655553,187.9312424983951,,,1,6.540800227272728,28.032318181818184
16,8,205.2095994579197,201.28655880871432,,,1,5.813423352941176,25.234688235294122
17,8,102.99736459718558,107.70756063137087,,,0,3.596892,8.413428571428572
18,9,248.83762082903468,249.8612302332384,,,1,5.782630162601626,28.08121951219512
19,9,136.41823873001348,160.52608735741683,,,0,4.67112306122449,11.666020408163266
20,10,240.42399203531096,225.8058289935504,,,1,6.009141358024691,35.54837037037037
21,10,147.97674056116577,152.39125448090803,,,0,3.837389310344828,10.050206896551725
22,11,148.2797440633895,117.07637885175635,,,0,3.906700476190476,7.389142857142858
23,11,257.945884301203,249.47287514715325,,,1,3.2818009375,19.01890625
24,12,223.47289597355396,167.52206135967845,,,1,3.6153288888888886,15.254044444444444
25,12,178.837385236424,122.18256719537722,,,0,4.165243684210527,5.688210526315789
26,13,197.7074243549496,189.27703391998918,,,1,3.244813125,17.491875
27,13,105.51437178266228,113.07343225732939,,,0,4.3881504,4.8180000000000005
28,14,106.52461817790092,114.04923996360056,,,0,4.032101666666667,6.650833333333334
29,14,198.19815033828803,202.11753472815033,,,1,2.247329,12.3306
30,15,197.85379115465378,195.51780870798302,,,1,2.673358888888889,15.77822222222222
31,15,103.46638722934847,109.53883258663497,,,0,2.32515,6.190111111111111
32,16,197.5572175299898,193.2278477972158,,,1,2.87923125,16.111375
33,16,105.41549840506666,114.41445429151226,,,0,2.72048125,5.6866249999999985
34,17,102.30989002832878,104.62306267943892,,,0,2.7904400000000003,6.337999999999999
35,17,199.99715264073208,201.1799542173005,,,1,2.078756153846154,10.05
36,18,101.49737521415625,103.89056188362801,,,0,2.8111099999999998,8.799999999999999
37,18,196.49332192081678,197.93355987636022,,,1,2.28150625,13.9744375
38,19,195.08838700417482,182.84853578494875,,,1,3.17187,16.26775
39,19,99.00569799517471,96.3630359322014,,,0,2.8111099999999998,8.799999999999999
40,20,197.95375121721185,211.70769328130612,,,1,1.18092,5.821333333333333
41,20,104.57735069222709,112.93428619870966,,,0,1.2820799999999999,3.849999999999999
42,21,194.92698788351942,188.6352916530535,,,1,2.44333,15.264000000000001
43,21,104.57735069222709,112.93428619870966,,,0,1.2820799999999999,3.849999999999999
44,22,194.4582509787811,192.6334277514663,,,1,2.44333,15.264000000000001
45,22,104.57735069222709,112.93428619870966,,,0,1.2820799999999999,3.849999999999999
46,23,105.51028328065352,113.1266488564023,,,0,1.2820799999999999,3.849999999999999
47,23,204.1920683334536,202.0398613042303,,,1,2.44333,15.264000000000001
