Session Length (hh:mm),Sessions,Cumulative %
"00:00","0","0"
"00:30","725","8.46"
"01:00","402","13.16"
"01:30","703","21.37"
"02:00","902","31.9"
"02:30","1086","44.58"
"03:00","1120","57.65"
"03:30","1286","72.67"
"04:00","1632","91.72"
"04:30","472","97.23"
"05:00","94","98.33"
"05:30","64","99.08"
"06:00","23","99.35"
"06:30","16","99.53"
"07:00","15","99.71"
"07:30","6","99.78"
"08:00","5","99.84"
"08:30","4","99.88"
"09:00","5","99.94"
"09:30","1","99.95"
"10:00","0","99.95"
"10:30","2","99.98"
"11:00","0","99.98"
"11:30","0","99.98"
"12:00","0","99.98"
"12:30","0","99.98"
"13:00","0","99.98"
"13:30","1","99.99"
"14:00","0","99.99"
"14:30","0","99.99"
"15:00","0","99.99"
"15:30","0","99.99"
"16:00","1","100"
